,FECHA (YYMMDD),HORA (HHMM),Porcentaje,Registros validados,Temperatura (°C)
16703,181229,1800,64.4263,10.0,8.93193
16704,181229,1900,64.5945,10.0,8.30107
16705,181229,2000,69.1201,10.0,7.24512
16706,181229,2100,74.7576,10.0,6.38068
16707,181229,2200,74.4658,10.0,6.23927
16708,181229,2300,72.2722,10.0,6.36692
16709,181230,0,76.4286,6.0,6.1422
16710,181230,100,69.9751,6.0,6.91077
16711,181230,200,64.5483,6.0,7.47826
16712,181230,300,62.5737,6.0,7.78792
16713,181230,400,61.0394,6.0,8.07349
16714,181230,500,62.5161,6.0,8.05978
16715,181230,600,65.0853,6.0,8.04996
16716,181230,700,62.1418,6.0,8.95961
16717,181230,800,57.1775,6.0,10.7671
16718,181230,900,50.77,6.0,12.5112
16719,181230,1000,48.6013,6.0,13.4045
16720,181230,1100,46.3079,6.0,14.3586
16721,181230,1200,45.5104,6.0,14.657
16722,181230,1300,45.6428,6.0,14.5111
16723,181230,1400,47.7736,6.0,14.2503
16724,181230,1500,51.1235,6.0,13.8595
16725,181230,1600,55.0558,6.0,13.276
16726,181230,1700,56.7634,6.0,12.9844
16727,181230,1800,58.1816,6.0,12.7494
16728,181230,1900,57.4974,6.0,12.6277
16729,181230,2000,56.8439,6.0,12.8006
16730,181230,2100,57.2313,6.0,12.9888
16731,181230,2200,59.1604,6.0,13.0505
16732,181230,2300,61.267,6.0,12.9005
16733,181231,0,63.1227,13.0,12.8522
16734,181231,100,65.6495,13.0,12.5505
16735,181231,200,72.6345,13.0,11.7305
16736,181231,300,67.2518,13.0,12.2671
16737,181231,400,63.8275,13.0,12.8071
16738,181231,500,67.025,13.0,12.4937
16739,181231,600,71.1641,13.0,12.0679
16740,181231,700,69.2664,13.0,12.5321
16741,181231,800,76.0613,13.0,11.9579
16742,181231,900,75.6661,13.0,12.0979
16743,181231,1000,67.3478,13.0,12.966
16744,181231,1100,64.6311,13.0,12.451
